iter	Passed	Remaining
0	0	75
1	1	69
2	2	65
3	2	63
4	3	62
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	56
11	7	55
12	8	54
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	49
20	13	49
21	13	48
22	14	47
23	14	47
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	32
47	29	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	35	25
58	35	24
59	36	24
60	36	23
61	37	22
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	49	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
